# t (s)	mx ()	my ()	mz ()	ext_dwpos (m)	ext_dwspeed (m/s)
1.0824817926025123e-09	0.01525804431534382	0.07702434329446488	-0.009006598785749076	2.481541837659083e-24	100.09555279778478
1.092493193950384e-09	0.022792006983901516	0.0782064560095706	-0.00838933415041003	3.0000000000000025e-09	299.6583490919355
1.1024962924975344e-09	0.0149156065408827	0.07970861670867875	-0.007817103977648702	2.481541837659083e-24	-299.9070723795482
1.1125026809864517e-09	0.015457032038332867	0.0813049983457138	-0.0073405951335545035	2.481541837659083e-24	-299.9070723795482
1.1225250058847247e-09	0.016431966706762488	0.08271528036512668	-0.006957013395018561	2.481541837659083e-24	-299.9070723795482
1.1324702763813252e-09	0.017780381651346325	0.08365867224369722	-0.006630076499821473	2.481541837659083e-24	-299.9070723795482
1.1425250023761605e-09	0.019486061092401346	0.08395823115326549	-0.00631588937273324	2.481541837659083e-24	-299.9070723795482
1.1524829795579249e-09	0.013527752212547154	0.08358977649914229	-0.006008909522036208	-2.9999999999999975e-09	-60.015979782288994
1.1624813670152976e-09	0.007836270320492483	0.08264654380317002	-0.0057491756350142535	-5.9999999999999975e-09	-300.0483840809563
1.1725225013973955e-09	0.01031025878481763	0.08135256362210087	-0.005511236498738425	-5.9999999999999975e-09	-300.0483840809563
1.1825115513543256e-09	0.02085605475420509	0.08010749797944222	-0.005300682928215137	-2.9999999999999975e-09	149.7739586027986
1.1925265562421547e-09	0.023520932526832426	0.07920381078895383	-0.005148169891311941	-2.9999999999999975e-09	149.7739586027986
1.2024730256294698e-09	0.018220790629948306	0.07883897185384842	-0.005047264231773259	-5.9999999999999975e-09	-150.28950059743687
1.2125172343549874e-09	0.012903872024225348	0.07918276078536389	-0.004997073390030233	-8.999999999999998e-09	-298.6795756621844
1.2224791711177552e-09	0.015427687484354625	0.08016748707861789	-0.005069087407983362	-8.999999999999998e-09	-298.6795756621844
1.2324860636761048e-09	0.009870568022938788	0.0815212592756458	-0.005269606315965268	-1.1999999999999998e-08	-150.23414501457253
1.2424951655193326e-09	0.019995807357765346	0.0828186201918972	-0.0055973718134372675	-8.999999999999998e-09	299.72719300781256
1.2525159059817767e-09	0.013939062991192018	0.0839760747645189	-0.006010614576117055	-1.1999999999999998e-08	-299.3790739560057
1.2624867441325348e-09	0.015471064742382521	0.08472850058603452	-0.0064613457882043085	-1.1999999999999998e-08	-299.3790739560057
1.2725182152207061e-09	0.01661215951297038	0.08505695492725021	-0.0069444294421162345	-1.1999999999999998e-08	-299.3790739560057
